,COWZ,DBB,GLD,QQQ,SCHD,SPY,TLT
2016-07-01,0.0,0.500150045013504,0.0,0.500150045013504,0.0,0.0,0.0
2016-07-05,0.0,0.49834644839321757,0.0,0.5019565793616837,0.0,0.0,0.0
2016-07-06,0.0,0.49537107623262566,0.0,0.5049312736926661,0.0,0.0,0.0
2016-07-07,0.0,0.4918087488751647,0.0,0.5084948413579031,0.0,0.0,0.0
2016-07-08,0.0,0.4909817121829376,0.0,0.5093177411514214,0.0,0.0,0.0
2016-07-11,0.0,0.48955755786202304,0.0,0.5107410305376151,0.0,0.0,0.0
2016-07-12,0.0,0.49421411837622836,0.0,0.5060802625521991,0.0,0.0,0.0
2016-07-13,0.0,0.49500323301323385,0.0,0.5052914061969886,0.0,0.0,0.0
2016-07-14,0.0,0.4945748242223423,0.0,0.5057180661066596,0.0,0.0,0.0
2016-07-15,0.0,0.49443160424169913,0.0,0.5058618447708707,0.0,0.0,0.0
2016-07-18,0.0,0.49278163491305754,0.0,0.5075108385378453,0.0,0.0,0.0
2016-07-19,0.0,0.49478441981599947,0.0,0.5055079681919105,0.0,0.0,0.0
2016-07-20,0.0,0.4900605704997347,0.0,0.5102311450811756,0.0,0.0,0.0
2016-07-21,0.0,0.49081682021874595,0.0,0.5094751359724189,0.0,0.0,0.0
2016-07-22,0.0,0.4894155281768652,0.0,0.5108760239029565,0.0,0.0,0.0
2016-07-25,0.0,0.4892107992423117,0.0,0.5110808477645223,0.0,0.0,0.0
2016-07-26,0.0,0.4869063380225745,0.0,0.5133862934786201,0.0,0.0,0.0
2016-07-27,0.0,0.48146642282728225,0.0,0.5188272746513789,0.0,0.0,0.0
2016-07-28,0.0,0.48467424439902407,0.0,0.515616623066245,0.0,0.0,0.0
2016-07-29,0.0,0.4868754448089228,0.0,0.5134135547152165,0.0,0.0,0.0
2016-08-01,0.0,0.4711501546621035,0.0,0.0,0.0,0.0,0.5290086345917422
2016-08-02,0.0,0.47446058330223567,0.0,0.0,0.0,0.0,0.5256988569448621
2016-08-03,0.0,0.4752241469174869,0.0,0.0,0.0,0.0,0.5249349713933261
2016-08-04,0.0,0.47099128685174807,0.0,0.0,0.0,0.0,0.5291679199382379
2016-08-05,0.0,0.47505635727170376,0.0,0.0,0.0,0.0,0.525103288370073
2016-08-08,0.0,0.47476865221152775,0.0,0.0,0.0,0.0,0.5253907824141013
2016-08-09,0.0,0.4712354491671439,0.0,0.0,0.0,0.0,0.5289234958678753
2016-08-10,0.0,0.4713653778574728,0.0,0.0,0.0,0.0,0.5287929174715673
2016-08-11,0.0,0.4743246880305954,0.0,0.0,0.0,0.0,0.5258341398152971
2016-08-12,0.0,0.4687692137241615,0.0,0.0,0.0,0.0,0.5313899534752023
2016-08-15,0.0,0.47404995729746835,0.0,0.0,0.0,0.0,0.5261091291740191
2016-08-16,0.0,0.4759841688798459,0.0,0.0,0.0,0.0,0.5241747581414709
2016-08-17,0.0,0.47485360650456976,0.0,0.0,0.0,0.0,0.5253047154642423
2016-08-18,0.0,0.47500047543924934,0.0,0.0,0.0,0.0,0.5251575543341913
2016-08-19,0.0,0.4757691457585543,0.0,0.0,0.0,0.0,0.5243894852334117
2016-08-22,0.0,0.47204542792843895,0.0,0.0,0.0,0.0,0.5281129950076525
